CPU Name,Price(USD),CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Socket,Category
686 Gen,0,288,0,0,0,0,0,NA,Unknown
AMD A10 Micro-6700T APU,0,1970,0,778,0,5,394,FT3b,Laptop
AMD A10 PRO-7350B APU,0,3157,0,1013,0,19,166,FP3,Laptop
AMD A10 PRO-7800B APU,0,4979,0,1553,0,65,76,FM2+,Desktop
AMD A10 PRO-7850B APU,0,5380,0,1601,0,95,56,FM2+,Desktop
AMD A10-4600M APU,0,3115,0,1004,0,35,89,FS1r2,Laptop
AMD A10-4655M APU,0,2605,0,861,0,25,104,FP2,Laptop
AMD A10-4657M APU,0,2906,0,887,0,35,83,FP2,Laptop
AMD A10-5700 APU,64.5,4214,65.35,1358,21.06,65,64,FM2,Desktop
AMD A10-5745M APU,0,2762,0,912,0,25,110,FP2,Laptop
AMD A10-5750M APU,0,3341,0,1109,0,35,95,FS1r2,Laptop
AMD A10-5757M APU,0,3084,0,1063,0,35,88,FP2,Laptop
AMD A10-5800B APU,0,4614,0,1489,0,100,46,FM2,Desktop
AMD A10-5800K APU,149.99,4648,30.99,1458,9.72,100,46,FM2,Desktop
AMD A10-6700 APU,116.99,4605,39.37,1519,12.99,65,70,FM2,Desktop
AMD A10-6700T APU,147.61,3693,25.02,1200,8.13,45,82,FM2,Desktop
AMD A10-6790K APU,94.99,4714,49.64,1480,15.59,100,47,FM2,Desktop
AMD A10-6800B APU,0,4822,0,1564,0,100,48,FM2,Desktop
AMD A10-6800K APU,87.76,4861,55.39,1531,17.45,100,48,FM2,Desktop
AMD A10-7300 APU,0,2905,0,961,0,19,152,FP3,Laptop
AMD A10-7400P,0,3609,0,1112,0,35,103,FP3,Laptop
AMD A10-7700K APU,125.47,5119,40.8,1503,11.99,95,53,FM2+,Desktop
AMD A10-7800 APU,103.39,4974,48.11,1537,14.87,65,76,FM2+,Desktop
AMD A10-7850K APU,167.33,5468,32.68,1575,9.42,95,57,FM2+,Desktop
AMD A10-7860K,175.0,5047,28.84,1571,8.98,65,77,FM2+,Desktop
AMD A10-7870K,226.99,5476,24.12,1578,6.96,95,57,FM2+,Desktop
AMD A10-7890K,199.99,5706,28.53,1716,8.58,95,60,FM2+,Desktop
AMD A10-8700P,0,3442,0,1220,0,35,98,FP4,Laptop
AMD A10-8750,0,5064,0,1623,0,65,77,FM2+,Desktop
AMD A10-8850,0,5604,0,1742,0,0,0,NA,Desktop
AMD A10-9600P,0,3766,0,1287,0,15,251,FP4,Laptop
AMD A10-9620P,0,3672,0,1289,0,15,244,NA,Laptop
AMD A10-9630P,0,4474,0,1445,0,35,127,FP4,Laptop
AMD A10-9700,83.9,5385,64.18,1728,20.6,65,82,AM4,Desktop
AMD A10-9700E,109.9,4747,43.17,1534,13.95,35,135,AM4,Desktop
AMD A12-9700P,0,3712,0,1310,0,15,247,FP4,Laptop
AMD A12-9720P,0,3993,0,1422,0,15,266,FP4,Laptop
AMD A12-9730P,0,4417,0,1544,0,35,126,FP4,Laptop
AMD A12-9800,148.24,5579,37.64,1861,12.56,65,85,AM4,Desktop
AMD A12-9800E,131.38,5087,38.72,1623,12.36,35,145,AM4,Desktop
AMD A4 Micro-6400T APU,0,1544,0,585,0,0,343,FT3b,Laptop
AMD A4 PRO-3340B,0,2402,0,872,0,25,96,BGA769 (FT3),Laptop
AMD A4 PRO-7300B APU,0,2353,0,1437,0,65,36,NA,Desktop
AMD A4 PRO-7350B,0,2227,0,1310,0,65,34,FM2+,Desktop
AMD A4-1200 APU,0,632,0,365,0,0,162,FT3,Laptop
AMD A4-1250 APU,0,622,0,359,0,8,77,FT3,Laptop
AMD A4-3300 APU,12.9,1503,115.75,836,64.4,65,23,FM1,Desktop
AMD A4-3300M APU,29.99,1188,39.62,629,21.0,65,18,FM1,Laptop
AMD A4-3305M APU,30.8,1227,39.85,681,22.13,35,35,FS1,Laptop
AMD A4-3310MX APU,0,1286,0,682,0,45,28,FS1,Laptop
AMD A4-3320M APU,35.9,1253,34.93,654,18.23,35,35,FS1,Laptop
AMD A4-3330MX APU,0,1218,0,697,0,45,27,FS1 uPGA,Laptop
AMD A4-3400 APU,87.9,1594,18.13,903,10.27,65,24,FM1,Desktop
AMD A4-3420 APU,0,1664,0,929,0,65,25,FM1,Desktop
AMD A4-4000 APU,128.27,1833,14.3,1114,8.69,65,28,FM2,Desktop
AMD A4-4020 APU,83.0,1909,23.0,1164,14.03,65,29,FM2,Desktop
AMD A4-4300M APU,39.8,1613,40.48,981,24.61,35,46,FS1,Laptop
AMD A4-4355M APU,0,1177,0,691,0,17,69,FP2,Laptop
AMD A4-5000 APU,0,1917,0,585,0,15,127,FT3,Laptop
AMD A4-5050 APU,0,2113,0,615,0,0,156,FT3,Laptop
AMD A4-5100 APU,0,2060,0,620,0,15,137,FT3,Laptop
AMD A4-5150M APU,0,1864,0,1098,0,35,53,FS1r2,Laptop
AMD A4-5300 APU,110.32,2017,18.29,1243,11.27,65,31,FM2,Desktop
AMD A4-5300B APU,38.0,2149,56.56,1289,33.92,65,33,FM2,Desktop
AMD A4-6210 APU,0,2171,0,692,0,15,144,FT3b,Laptop
AMD A4-6250J APU,0,2556,0,786,0,25,102,NA,Unknown
AMD A4-6300 APU,59.99,2225,37.09,1356,22.61,65,34,FM2,Desktop
AMD A4-6300B APU,100.0,2159,21.59,1403,14.04,65,33,NA,Desktop
AMD A4-6320 APU,69.99,2329,33.29,1425,20.37,65,35,FM2,Desktop
AMD A4-7210 APU,0,2527,0,834,0,25,101,BGA,Laptop
AMD A4-7300 APU,112.0,2312,20.65,1393,12.44,65,35,FM2,Desktop
AMD A4-9120,0,1962,0,1117,0,15,130,BGA,Laptop
AMD A4-9120C,0,1539,0,738,0,6,256,FT4,Laptop
AMD A4-9125,0,2001,0,1126,0,15,133,BGA (FT4),Laptop
AMD A6 Micro-6500T APU,0,1834,0,699,0,0,0,NA,Laptop
AMD A6 PRO-7050B APU,0,1616,0,864,0,17,95,FP3,Laptop
AMD A6 PRO-7400B,0,2621,0,1572,0,65,40,FM2+,Desktop
AMD A6-1450 APU,0,1539,0,503,0,8,192,FT3,Laptop
