;cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price;vfm;mark;TDP
0;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;474,0;16,141350210970465;7651;15
1;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;476,4;16,746431570109152;7978;15
2;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;478,0;16,690376569037657;7978;15
3;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;499,0;15,987975951903808;7978;15
5;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;509,0;15,031434184675835;7651;15
6;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;509,0;15,673870333988212;7978;15
7;Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;516,0;15,46124031007752;7978;15
8;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;518,99;15,3721651669589;7978;15
9;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;519,0;14,741811175337187;7651;15
10;Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;519,0;8,791907514450868;4563;15
11;Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;519,0;8,791907514450868;4563;15
12;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;528,0;15,109848484848484;7978;15
13;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;529,0;14,463137996219281;7651;15
14;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;538,0;14,221189591078067;7651;15
15;Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;539,0;8,465677179962894;4563;15
16;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;539,0;14,194805194805195;7651;15
17;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;539,0;14,801484230055658;7978;15
18;Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;545,0;14,638532110091743;7978;15
19;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;546,0;14,012820512820513;7651;15
20;Core i5;8265U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;549,0;14,531876138433516;7978;15
21;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;558,0;13,71146953405018;7651;15
22;Core i5;7200U;8 GB;DDR4;GeForce 940MX;SSD;256 GB;-;-;559,0;8,162790697674419;4563;15
23;Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;512 GB;-;-;564,0;13,565602836879433;7651;15
24;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;579,0;13,214162348877375;7651;15
25;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;579,01;13,778691214314088;7978;15
27;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;585,0;13,637606837606837;7978;15
29;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;589,0;15,117147707979626;8904;15
30;Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;512 GB;-;-;589,0;12,98981324278438;7651;15
31;Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;589,0;12,98981324278438;7651;15
32;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;589,0;13,544991511035654;7978;15
33;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;590,52;12,956377430061641;7651;15
34;Core i7;7500U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;598,0;8,568561872909699;5124;15
35;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;598,99;13,31908713000217;7978;15
36;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;HDD;1000 GB;599,0;13,766277128547578;8246;15
37;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;599,0;13,318864774624373;7978;15
38;Core i5;7200U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;599,0;7,617696160267112;4563;15
39;Core i5;7200U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;599,0;7,617696160267112;4563;15
40;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;599,0;12,77295492487479;7651;15
41;Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;599,0;15,20033388981636;9105;15
42;Core i5;7200U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;599,0;7,617696160267112;4563;15
43;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;599,24;13,313530471931113;7978;15
45;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;599,99;13,296888281471357;7978;15
46;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;602,14;12,70634736107882;7651;15
47;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;609,0;13,10016420361248;7978;15
48;Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;619,0;12,888529886914379;7978;15
49;Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;619,0;12,360258481421647;7651;15
50;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;619,0;12,888529886914379;7978;15
51;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;8 GB;-;-;619,99;12,867949483056178;7978;15
52;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;625,0;12,7648;7978;15
53;Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;629,0;14,155802861685215;8904;15
55;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;635,0;12,563779527559054;7978;15
56;Core i5;7200U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;636,99;7,163377761032355;4563;15
57;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;647,87;12,314198836186272;7978;15
58;Core i5;8265U;8 GB;DDR4;GeForce MX110;SSD;512 GB;-;-;649,0;12,29275808936826;7978;15
59;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;649,99;12,274034985153618;7978;15
