cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;474.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;476.4
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;478.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;499.0
Core i5;7200U;8 GB;DDR3;HD Graphics 620;SSD;256 GB;-;-;509.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;509.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;509.0
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;516.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;518.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;519.0
Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;519.0
Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;519.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;528.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;529.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;538.0
Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;539.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;539.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;539.0
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;545.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;546.0
Core i5;8265U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;549.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;558.0
Core i5;7200U;8 GB;DDR4;GeForce 940MX;SSD;256 GB;-;-;559.0
Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;512 GB;-;-;564.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;579.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;579.01
Core i5;8265U;8 GB;-;UHD Graphics 620;SSD;256 GB;SSD;8 GB;579.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;585.0
Core i7;8550U;8 GB;-;UHD Graphics 620;SSD;256 GB;-;-;588.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;589.0
Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;512 GB;-;-;589.0
Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;589.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;589.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;590.52
Core i7;7500U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;598.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;598.99
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;HDD;1000 GB;599.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;599.0
Core i5;7200U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;599.0
Core i5;7200U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;599.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;599.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;599.0
Core i5;7200U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;599.0
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;599.24
Core i5;8250U;8 GB;-;UHD Graphics 620;SSD;256 GB;-;-;599.9
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;599.99
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;602.14
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;609.0
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;619.0
Core i5;8250U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;619.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;619.0
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;8 GB;-;-;619.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;625.0
Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;629.0
Core i5;8265U;12 GB;-;UHD Graphics 620;SSD;256 GB;-;-;629.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;635.0
Core i5;7200U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;636.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;647.87
Core i5;8265U;8 GB;DDR4;GeForce MX110;SSD;512 GB;-;-;649.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;649.99
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;650.0
Core i5;8265U;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;658.17
Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;1000 GB;-;-;659.0
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;664.0
Core i7;7500U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;668.0
Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;676.2
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;677.99
Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;512 GB;-;-;678.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;679.0
Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;-;-;679.01
Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;685.0
Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;256 GB;-;-;685.0
Core i5;1035G1;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;685.89
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;512 GB;-;-;688.95
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;689.0
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;689.0
Core i5;10210U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;694.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;694.9
Core i7;8550U;8 GB;DDR4;GeForce MX110;SSD;256 GB;-;-;697.0
Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;697.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;HDD;1000 GB;698.0
Core i7;8565U;8 GB;DDR4;Radeon 520;SSD;256 GB;-;-;698.99
Core i7;7500U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;699.0
Core i5;1035G1;12 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;699.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;699.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;699.0
Core i5;8265U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;699.9
