CPU Name,Price(USD),CPU Mark,CPU Value,Thread Mark,Thread Value,TDP (W),Power Perf.,Socket,Category
AMD A10-5700 APU,64.5,4214,65.35,1358,21.06,65,64,FM2,Desktop
AMD A10-5800K APU,149.99,4648,30.99,1458,9.72,100,46,FM2,Desktop
AMD A10-6700 APU,116.99,4605,39.37,1519,12.99,65,70,FM2,Desktop
AMD A10-6700T APU,147.61,3693,25.02,1200,8.13,45,82,FM2,Desktop
AMD A10-6790K APU,94.99,4714,49.64,1480,15.59,100,47,FM2,Desktop
AMD A10-6800K APU,87.76,4861,55.39,1531,17.45,100,48,FM2,Desktop
AMD A10-7700K APU,125.47,5119,40.8,1503,11.99,95,53,FM2+,Desktop
AMD A10-7800 APU,103.39,4974,48.11,1537,14.87,65,76,FM2+,Desktop
AMD A10-7850K APU,167.33,5468,32.68,1575,9.42,95,57,FM2+,Desktop
AMD A10-7860K,175.0,5047,28.84,1571,8.98,65,77,FM2+,Desktop
AMD A10-7890K,199.99,5706,28.53,1716,8.58,95,60,FM2+,Desktop
AMD A10-9700,83.9,5385,64.18,1728,20.6,65,82,AM4,Desktop
AMD A10-9700E,109.9,4747,43.17,1534,13.95,35,135,AM4,Desktop
AMD A12-9800,148.24,5579,37.64,1861,12.56,65,85,AM4,Desktop
AMD A12-9800E,131.38,5087,38.72,1623,12.36,35,145,AM4,Desktop
AMD A4-3300 APU,12.9,1503,115.75,836,64.4,65,23,FM1,Desktop
AMD A4-3300M APU,29.99,1188,39.62,629,21.0,65,18,FM1,Laptop
AMD A4-3305M APU,30.8,1227,39.85,681,22.13,35,35,FS1,Laptop
AMD A4-3320M APU,35.9,1253,34.93,654,18.23,35,35,FS1,Laptop
AMD A4-4300M APU,39.8,1613,40.48,981,24.61,35,46,FS1,Laptop
AMD A4-5300B APU,38.0,2149,56.56,1289,33.92,65,33,FM2,Desktop
AMD A4-6300 APU,59.99,2225,37.09,1356,22.61,65,34,FM2,Desktop
AMD A4-6320 APU,69.99,2329,33.29,1425,20.37,65,35,FM2,Desktop
AMD A6-3400M APU,29.97,1888,63.01,539,17.99,35,53,FS1,Laptop
AMD A6-3410MX APU,3.99,2059,516.08,593,148.64,45,45,FS1,Laptop
AMD A6-3500 APU,39.99,2029,50.76,753,18.84,65,31,FM1,Desktop
AMD A6-3600 APU,22.99,2707,117.76,757,32.95,65,41,FM1,Desktop
AMD A6-3620 APU,59.99,2793,46.57,788,13.14,65,42,FM1,Desktop
AMD A6-3650 APU,31.99,3148,98.41,901,28.18,100,31,FM1,Desktop
AMD A6-4400M APU,7.99,1642,205.54,991,124.07,35,46,FS1r2,Laptop
AMD A6-5350M APU,43.1,1906,44.2,1143,26.52,35,54,FS1r2,Laptop
AMD A6-5400K APU,62.0,2161,34.85,1310,21.13,65,33,FM2,Desktop
AMD A6-6400K APU,82.1,2313,28.15,1405,17.1,65,35,FM2,Desktop
AMD A6-7400K APU,67.4,2783,41.25,1581,23.44,65,42,FM2+,Desktop
AMD A6-7480,43.99,3135,71.28,1793,40.77,65,48,FM2+,Desktop
AMD A6-9500,51.4,3054,59.32,1781,34.61,65,46,AM4,Desktop
AMD A6-9500E,72.5,2889,39.85,1631,22.5,35,82,AM4,Desktop
AMD A8-3500M APU,69.9,1980,28.32,560,8.01,35,56,FS1,Laptop
AMD A8-3800 APU,56.99,3011,52.84,854,14.99,65,46,FM1,Desktop
